,ORF1ab,S,ORF3a,E,M,ORF6,ORF7a,ORF7b,ORF8,N,ORF10,Total
CpY11_LYRa11,0.0,0.0,0.0,60.0,123.0,1000.0,1000.0,200.0,863.0,0.0,0.0,3246.0
RpS11_n44,0.0,0.0,900.0,100.0,0.0,1000.0,0.0,800.0,15.0,0.0,0.0,2815.0
HeB2013_Jiyuan_84,1000.0,1000.0,0.0,0.0,0.0,0.0,151.0,0.0,46.0,500.0,65.0,2762.0
Rp3_RpS11,0.0,0.0,1000.0,0.0,1000.0,20.0,0.0,0.0,481.0,0.0,0.0,2501.0
YNLF_31C_n40,0.0,900.0,900.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,2472.0
16BO133_n43,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
Rs7327_n14,0.0,0.0,0.0,0.0,600.0,767.0,0.0,0.0,0.0,600.0,0.0,1967.0
n49_n50,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,1900.0
GX2013_HKU3_7,0.0,0.0,900.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,1900.0
As6526_Rs4255,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,856.0,822.0,0.0,1878.0
GX2013_n44,0.0,1000.0,100.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,1540.0
Rs7327_Rs9401,240.0,777.0,388.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.0
n2_n46,0.0,28.0,100.0,400.0,200.0,0.0,300.0,400.0,0.0,0.0,0.0,1428.0
Rs4231_Rs4247_147,417.0,0.0,0.0,0.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.0
Rs4231_n21,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,276.0,0.0,1376.0
HuB2013_Rm1,1000.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,51.0,132.0,44.0,1347.0
YN2018A_n26,300.0,0.0,0.0,0.0,87.0,200.0,0.0,0.0,15.0,700.0,0.0,1302.0
Rp3_n36,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,1300.0
SC2018_n6,900.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,1200.0
Rs672_YN2018A,0.0,0.0,0.0,0.0,0.0,187.0,0.0,100.0,882.0,0.0,0.0,1169.0
n2_n35,1000.0,0.0,0.0,64.0,85.0,0.0,0.0,18.0,0.0,0.0,0.0,1167.0
As6526_Rs4081,0.0,0.0,0.0,0.0,0.0,39.0,951.0,0.0,165.0,0.0,0.0,1155.0
CpY11_n34,900.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,1151.0
GX2013_n35,0.0,0.0,0.0,154.0,939.0,0.0,0.0,36.0,21.0,0.0,0.0,1150.0
Rs4081_Rs4255,0.0,89.0,0.0,0.0,0.0,100.0,823.0,0.0,135.0,0.0,0.0,1147.0
Anlong-103_YN2013,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,1145.0
F46_Rf4092,0.0,1000.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
Rs4084_n19,0.0,0.0,659.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.0
YN2018A_n15,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,1029.0
Rm1_Rp3,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1011.0
Rs7327_YN2018C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.0,107.0,0.0,1010.0
Rs4081_YN2018D,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
As6526_YN2013,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
YN2018B_n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
Rs4081_WIV16,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
Rs4084_n24,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,0.0,970.0
F46_GX2013,0.0,0.0,0.0,928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0
SC2018_n2,0.0,0.0,0.0,0.0,800.0,0.0,0.0,100.0,0.0,0.0,0.0,900.0
Anlong-103_Rs4081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,900.0
Rp3_n44,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,15.0,0.0,0.0,895.0
Rs4081_Rs672,0.0,511.0,0.0,0.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0,894.0
As6526_Rs7327,785.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,885.0
Rs4231_WIV16,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,857.0
Rs672_n22,0.0,0.0,0.0,0.0,0.0,100.0,600.0,100.0,52.0,0.0,0.0,852.0
